Date,Hydrograph
1-Jan,8
2-Jan,8
3-Jan,8
4-Jan,8
5-Jan,8
6-Jan,8
7-Jan,8
8-Jan,8
9-Jan,8
10-Jan,8
11-Jan,8
12-Jan,8
13-Jan,8
14-Jan,8
15-Jan,8
16-Jan,8
17-Jan,8
18-Jan,8
19-Jan,8
20-Jan,8
21-Jan,8
22-Jan,8
23-Jan,8
24-Jan,8
25-Jan,8
26-Jan,8
27-Jan,8
28-Jan,8
29-Jan,8
30-Jan,8
31-Jan,8
1-Feb,8
2-Feb,8
3-Feb,8
4-Feb,8
5-Feb,8
6-Feb,8
7-Feb,8
8-Feb,8
9-Feb,8
10-Feb,8
11-Feb,8
12-Feb,8
13-Feb,8
14-Feb,8
15-Feb,8
16-Feb,8
17-Feb,8
18-Feb,8
19-Feb,8
20-Feb,8
21-Feb,8
22-Feb,8
23-Feb,8
24-Feb,8
25-Feb,8
26-Feb,8
27-Feb,8
28-Feb,8
1-Mar,8
2-Mar,8
3-Mar,8
4-Mar,8
5-Mar,8
6-Mar,8
7-Mar,8
8-Mar,8
9-Mar,8
10-Mar,8
11-Mar,8
12-Mar,8
13-Mar,8
14-Mar,8
15-Mar,8
16-Mar,8
17-Mar,8
18-Mar,8
19-Mar,8
20-Mar,8
21-Mar,8
22-Mar,8
23-Mar,8
24-Mar,8
25-Mar,8
26-Mar,8
27-Mar,8
28-Mar,8
29-Mar,8
30-Mar,8
31-Mar,8
1-Apr,8
2-Apr,8
3-Apr,8
4-Apr,8
5-Apr,8
6-Apr,8
7-Apr,8
8-Apr,8
9-Apr,8
10-Apr,8
11-Apr,8
12-Apr,8
13-Apr,8
14-Apr,8
15-Apr,8
16-Apr,8
17-Apr,8
18-Apr,8
19-Apr,8
20-Apr,8
21-Apr,8
22-Apr,8
23-Apr,8
24-Apr,8
25-Apr,8
26-Apr,8
27-Apr,8
28-Apr,8
29-Apr,8
30-Apr,8
1-May,8
2-May,8
3-May,8
4-May,8
5-May,8
6-May,8
7-May,8
8-May,8
9-May,8
